               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 100,            0.056975,            0.023769,                   0,              0.3328,             0.42308,             0.21775,            0.082475,             0.06526,            0.020194,                   0,            0.009902,            0.009902,            0.009902
                 101,            0.054649,            0.027867,                   0,              0.3328,             0.42308,             0.21775,            0.082475,             0.06526,            0.020194,                   0,            0.009901,            0.009901,            0.009901
                 102,            0.050573,            0.024006,                   0,             0.35717,             0.46154,             0.24391,            0.087347,            0.062488,            0.020328,                   0,              0.0099,              0.0099,              0.0099
                 103,            0.047739,            0.024867,                   0,             0.35717,             0.46154,             0.24391,            0.087347,            0.062488,            0.020328,                   0,            0.009899,            0.009899,            0.009899
                 104,            0.053283,            0.025084,                   0,             0.32041,             0.38462,             0.21707,            0.098381,             0.06472,            0.019203,                   0,            0.009898,            0.009898,            0.009898
                 105,            0.069668,            0.028246,                   0,             0.32041,             0.38462,             0.21707,            0.098381,             0.06472,            0.019203,                   0,            0.009897,            0.009897,            0.009897
                 106,            0.069077,            0.024522,                   0,             0.32041,             0.38462,             0.21707,            0.098381,             0.06472,            0.019203,                   0,           0.0098961,           0.0098961,           0.0098961
                 107,            0.069137,            0.025538,                   0,             0.42296,             0.42308,             0.26953,             0.13083,             0.06418,            0.018726,                   0,           0.0098951,           0.0098951,           0.0098951
                 108,            0.069501,            0.023813,                   0,             0.42296,             0.42308,             0.26953,             0.13083,             0.06418,            0.018726,                   0,           0.0098941,           0.0098941,           0.0098941
                 109,            0.061162,            0.022958,                   0,             0.45165,             0.46154,             0.43002,             0.22922,            0.061362,            0.019071,                   0,           0.0098931,           0.0098931,           0.0098931
                 110,            0.058324,            0.028795,                   0,             0.45165,             0.46154,             0.43002,             0.22922,            0.061362,            0.019071,                   0,           0.0098921,           0.0098921,           0.0098921
                 111,            0.057676,            0.024633,                   0,             0.54769,             0.42308,             0.35669,             0.18633,            0.055749,            0.019971,                   0,           0.0098911,           0.0098911,           0.0098911
                 112,            0.053561,            0.026337,                   0,             0.54769,             0.42308,             0.35669,             0.18633,            0.055749,            0.019971,                   0,           0.0098901,           0.0098901,           0.0098901
                 113,            0.053135,            0.025874,                   0,             0.54769,             0.42308,             0.35669,             0.18633,            0.055749,            0.019971,                   0,           0.0098891,           0.0098891,           0.0098891
                 114,            0.053882,             0.02004,                   0,             0.58247,             0.42308,             0.34677,             0.18249,            0.057136,            0.019617,                   0,           0.0098881,           0.0098881,           0.0098881
                 115,            0.057122,            0.023989,                   0,             0.58247,             0.42308,             0.34677,             0.18249,            0.057136,            0.019617,                   0,           0.0098871,           0.0098871,           0.0098871
                 116,            0.054569,            0.027301,                   0,             0.56204,             0.42308,             0.39246,             0.21199,            0.057405,            0.019158,                   0,           0.0098861,           0.0098861,           0.0098861
                 117,            0.052906,            0.021606,                   0,             0.56204,             0.42308,             0.39246,             0.21199,            0.057405,            0.019158,                   0,           0.0098852,           0.0098852,           0.0098852
                 118,            0.053359,            0.020322,                   0,              0.8154,             0.38462,             0.44257,             0.18245,            0.059584,            0.018415,                   0,           0.0098842,           0.0098842,           0.0098842
                 119,            0.057278,             0.02648,                   0,              0.8154,             0.38462,             0.44257,             0.18245,            0.059584,            0.018415,                   0,           0.0098832,           0.0098832,           0.0098832
                 120,            0.057421,            0.026901,                   0,             0.67857,             0.38462,             0.34348,             0.14357,            0.056973,            0.018663,                   0,           0.0098822,           0.0098822,           0.0098822
                 121,            0.067623,            0.026117,                   0,             0.67857,             0.38462,             0.34348,             0.14357,            0.056973,            0.018663,                   0,           0.0098812,           0.0098812,           0.0098812
                 122,            0.068945,            0.029026,                   0,             0.67857,             0.38462,             0.34348,             0.14357,            0.056973,            0.018663,                   0,           0.0098802,           0.0098802,           0.0098802
                 123,            0.070177,            0.026394,                   0,             0.47429,             0.34615,             0.31196,             0.12917,            0.061033,            0.018256,                   0,           0.0098792,           0.0098792,           0.0098792
                 124,            0.067459,            0.022095,                   0,             0.47429,             0.34615,             0.31196,             0.12917,            0.061033,            0.018256,                   0,           0.0098782,           0.0098782,           0.0098782
                 125,            0.067396,            0.022804,                   0,             0.65692,             0.34615,             0.40687,              0.2119,            0.057585,            0.018375,                   0,           0.0098772,           0.0098772,           0.0098772
                 126,            0.060113,            0.019409,                   0,             0.65692,             0.34615,             0.40687,              0.2119,            0.057585,            0.018375,                   0,           0.0098763,           0.0098763,           0.0098763
                 127,             0.06455,            0.023597,                   0,             0.41879,                 0.5,             0.38057,             0.16992,            0.055211,            0.018973,                   0,           0.0098753,           0.0098753,           0.0098753
                 128,            0.054289,            0.021128,                   0,             0.41879,                 0.5,             0.38057,             0.16992,            0.055211,            0.018973,                   0,           0.0098743,           0.0098743,           0.0098743
                 129,            0.059878,            0.020633,                   0,             0.41879,                 0.5,             0.38057,             0.16992,            0.055211,            0.018973,                   0,           0.0098733,           0.0098733,           0.0098733
                 130,            0.059117,            0.026212,                   0,             0.44243,                 0.5,             0.34029,             0.13998,            0.056471,             0.01922,                   0,           0.0098723,           0.0098723,           0.0098723
                 131,            0.062437,            0.025283,                   0,             0.44243,                 0.5,             0.34029,             0.13998,            0.056471,             0.01922,                   0,           0.0098713,           0.0098713,           0.0098713
